colunaboolean,colunadecimal,colunadouble,colunainteger,colunalong,colunaint,colunashort,colunabyte,colunastring
true,+123.456,+1234567890.1234567890E-1234567890,+123456,09223372036854775807,-2147483648,-32768,-128,aaaa 
xxxx,+123.456,+1234567890.1234567890E-1234567890,+123456,09223372036854775807,-2147483648,-32768,-128,aaaa
true,xx23.456,+1234567890.1234567890E-1234567890,+123456,09223372036854775807,-2147483648,-32768,-128,aaaa
true,+123.456,yyy34567890.1234567890E-1234567890,+123456,09223372036854775807,-2147483648,-32768,-128,aaaa
true,+123.456,+1234567890.1234567890E-1234567890,z456,09223372036854775807,-2147483648,-32768,-128,aaaa
true,+123.456,+1234567890.1234567890E-1234567890,+123456,092233dd036854775807,-2147483648,-32768,-128,aaaa
true,+123.456,+1234567890.1234567890E-1234567890,+123456,09223372036854775807,+2148999999,-32768,-128,aaaa
true,+123.456,+1234567890.1234567890E-1234567890,+123456,09223372036854775807,-2147483648,99999,-128,aaaa
true,+123.456,+1234567890.1234567890E-1234567890,+123456,09223372036854775807,-2147483648,-32768,-256,aaaa
true,+123.456,+1234567890.1234567890E-1234567890,+123456,09223372036854775807,-2147483648,-32768,-128,Hello <b>Herong</b>!